This file contains, for each analysis code and lint name:
* "has fix(es)", if the code has fix(es)
* "needs evaluation", if the code has not been evaluated in terms of fixes
* "needs fix", if the code needs a fix, with a possible issue link
* "fixes infeasible", if it has been deemed infeasible to write a fix for this code

Stats:
* 793 "needs evaluation"
CompileTimeErrorCode.NOT_ASSIGNED_POTENTIALLY_NON_NULLABLE_LOCAL_VARIABLE: needs evaluation
CompileTimeErrorCode.NOT_BINARY_OPERATOR: needs evaluation
CompileTimeErrorCode.NOT_ENOUGH_POSITIONAL_ARGUMENTS: has fix(es)
CompileTimeErrorCode.NOT_INITIALIZED_NON_NULLABLE_INSTANCE_FIELD: has fix(es)
CompileTimeErrorCode.NOT_INITIALIZED_NON_NULLABLE_INSTANCE_FIELD_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.NOT_INITIALIZED_NON_NULLABLE_VARIABLE: needs evaluation
CompileTimeErrorCode.NOT_INSTANTIATED_BOUND: needs evaluation
CompileTimeErrorCode.NOT_ITERABLE_SPREAD: needs evaluation
CompileTimeErrorCode.NOT_MAP_SPREAD: needs evaluation
CompileTimeErrorCode.NOT_NULL_AWARE_NULL_SPREAD: needs evaluation
CompileTimeErrorCode.NULLABLE_TYPE_IN_EXTENDS_CLAUSE: has fix(es)
CompileTimeErrorCode.NULLABLE_TYPE_IN_IMPLEMENTS_CLAUSE: has fix(es)
CompileTimeErrorCode.NULLABLE_TYPE_IN_ON_CLAUSE: has fix(es)
CompileTimeErrorCode.NULLABLE_TYPE_IN_WITH_CLAUSE: has fix(es)
CompileTimeErrorCode.OBJECT_CANNOT_EXTEND_ANOTHER_CLASS: fix infeasible
CompileTimeErrorCode.ON_REPEATED: needs evaluation
CompileTimeErrorCode.OPTIONAL_PARAMETER_IN_OPERATOR: needs evaluation
CompileTimeErrorCode.PART_OF_DIFFERENT_LIBRARY: needs evaluation
CompileTimeErrorCode.PART_OF_NON_PART: needs evaluation
CompileTimeErrorCode.PART_OF_UNNAMED_LIBRARY: needs evaluation
CompileTimeErrorCode.POSITIONAL_SUPER_FORMAL_PARAMETER_WITH_POSITIONAL_ARGUMENT: needs fix; new in 2.17
CompileTimeErrorCode.PREFIX_COLLIDES_WITH_TOP_LEVEL_MEMBER: needs evaluation
CompileTimeErrorCode.PREFIX_IDENTIFIER_NOT_FOLLOWED_BY_DOT: needs evaluation
CompileTimeErrorCode.PREFIX_SHADOWED_BY_LOCAL_DECLARATION: needs evaluation
CompileTimeErrorCode.PRIVATE_COLLISION_IN_MIXIN_APPLICATION: needs evaluation
CompileTimeErrorCode.PRIVATE_OPTIONAL_PARAMETER: needs evaluation
CompileTimeErrorCode.PRIVATE_SETTER: needs evaluation
CompileTimeErrorCode.READ_POTENTIALLY_UNASSIGNED_FINAL: needs evaluation
CompileTimeErrorCode.RECURSIVE_COMPILE_TIME_CONSTANT: needs evaluation
CompileTimeErrorCode.RECURSIVE_CONSTRUCTOR_REDIRECT: needs evaluation
CompileTimeErrorCode.RECURSIVE_FACTORY_REDIRECT: needs evaluation
CompileTimeErrorCode.RECURSIVE_INTERFACE_INHERITANCE: needs evaluation
CompileTimeErrorCode.RECURSIVE_INTERFACE_INHERITANCE_EXTENDS: needs evaluation
CompileTimeErrorCode.RECURSIVE_INTERFACE_INHERITANCE_IMPLEMENTS: needs evaluation
CompileTimeErrorCode.RECURSIVE_INTERFACE_INHERITANCE_ON: needs evaluation
CompileTimeErrorCode.RECURSIVE_INTERFACE_INHERITANCE_WITH: needs evaluation
CompileTimeErrorCode.REDIRECT_GENERATIVE_TO_MISSING_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.REDIRECT_GENERATIVE_TO_NON_GENERATIVE_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.REDIRECT_TO_ABSTRACT_CLASS_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.REDIRECT_TO_INVALID_FUNCTION_TYPE: needs evaluation
CompileTimeErrorCode.REDIRECT_TO_INVALID_RETURN_TYPE: needs evaluation
CompileTimeErrorCode.REDIRECT_TO_MISSING_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.REDIRECT_TO_NON_CLASS: needs evaluation
CompileTimeErrorCode.REDIRECT_TO_NON_CONST_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.REDIRECT_TO_TYPE_ALIAS_EXPANDS_TO_TYPE_PARAMETER: needs evaluation
CompileTimeErrorCode.REFERENCED_BEFORE_DECLARATION: needs evaluation
CompileTimeErrorCode.RETHROW_OUTSIDE_CATCH: needs evaluation
CompileTimeErrorCode.RETURN_IN_GENERATIVE_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.RETURN_IN_GENERATOR: needs evaluation
CompileTimeErrorCode.RETURN_OF_INVALID_TYPE_FROM_CLOSURE: needs evaluation
CompileTimeErrorCode.RETURN_OF_INVALID_TYPE_FROM_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.RETURN_OF_INVALID_TYPE_FROM_FUNCTION: has fix(es)
CompileTimeErrorCode.RETURN_OF_INVALID_TYPE_FROM_METHOD: has fix(es)
CompileTimeErrorCode.RETURN_WITHOUT_VALUE: needs evaluation
CompileTimeErrorCode.SET_ELEMENT_FROM_DEFERRED_LIBRARY: needs evaluation
CompileTimeErrorCode.SET_ELEMENT_TYPE_NOT_ASSIGNABLE: needs evaluation
CompileTimeErrorCode.SHARED_DEFERRED_PREFIX: needs evaluation
CompileTimeErrorCode.SPREAD_EXPRESSION_FROM_DEFERRED_LIBRARY: needs evaluation
CompileTimeErrorCode.STATIC_ACCESS_TO_INSTANCE_MEMBER: needs evaluation
CompileTimeErrorCode.SUPER_FORMAL_PARAMETER_TYPE_IS_NOT_SUBTYPE_OF_ASSOCIATED: needs fix; new in 2.17
CompileTimeErrorCode.SUPER_FORMAL_PARAMETER_WITHOUT_ASSOCIATED_NAMED: needs evaluation; new in 2.17
CompileTimeErrorCode.SUPER_FORMAL_PARAMETER_WITHOUT_ASSOCIATED_POSITIONAL: needs fix; https://github.com/dart-lang/sdk/issues/48359
CompileTimeErrorCode.SUPER_IN_EXTENSION: needs evaluation
CompileTimeErrorCode.SUPER_IN_INVALID_CONTEXT: needs evaluation
CompileTimeErrorCode.SUPER_IN_REDIRECTING_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.SUPER_INITIALIZER_IN_OBJECT: needs evaluation
CompileTimeErrorCode.SUPER_INVOCATION_NOT_LAST: needs evaluation
CompileTimeErrorCode.SWITCH_CASE_COMPLETES_NORMALLY: has fix(es)
CompileTimeErrorCode.SWITCH_EXPRESSION_NOT_ASSIGNABLE: needs evaluation
CompileTimeErrorCode.TEAROFF_OF_GENERATIVE_CONSTRUCTOR_OF_ABSTRACT_CLASS: needs evaluation; new in 2.15
CompileTimeErrorCode.THROW_OF_INVALID_TYPE: needs evaluation
CompileTimeErrorCode.TOP_LEVEL_CYCLE: needs evaluation
CompileTimeErrorCode.TYPE_ALIAS_CANNOT_REFERENCE_ITSELF: needs evaluation
CompileTimeErrorCode.TYPE_ANNOTATION_DEFERRED_CLASS: needs evaluation
CompileTimeErrorCode.TYPE_ARGUMENT_NOT_MATCHING_BOUNDS: needs evaluation
CompileTimeErrorCode.TYPE_PARAMETER_REFERENCED_BY_STATIC: needs evaluation
CompileTimeErrorCode.TYPE_PARAMETER_SUPERTYPE_OF_ITS_BOUND: needs evaluation
CompileTimeErrorCode.TYPE_TEST_WITH_NON_TYPE: needs evaluation
CompileTimeErrorCode.TYPE_TEST_WITH_UNDEFINED_NAME: has fix(es)
CompileTimeErrorCode.UNCHECKED_INVOCATION_OF_NULLABLE_VALUE: has fix(es)
CompileTimeErrorCode.UNCHECKED_METHOD_INVOCATION_OF_NULLABLE_VALUE: has fix(es)
CompileTimeErrorCode.UNCHECKED_OPERATOR_INVOCATION_OF_NULLABLE_VALUE: has fix(es)
CompileTimeErrorCode.UNCHECKED_PROPERTY_ACCESS_OF_NULLABLE_VALUE: has fix(es)
CompileTimeErrorCode.UNCHECKED_USE_OF_NULLABLE_VALUE_AS_CONDITION: has fix(es)
CompileTimeErrorCode.UNCHECKED_USE_OF_NULLABLE_VALUE_AS_ITERATOR: has fix(es)
CompileTimeErrorCode.UNCHECKED_USE_OF_NULLABLE_VALUE_IN_SPREAD: has fix(es)
CompileTimeErrorCode.UNCHECKED_USE_OF_NULLABLE_VALUE_IN_YIELD_EACH: has fix(es)
CompileTimeErrorCode.UNDEFINED_ANNOTATION: has fix(es)
CompileTimeErrorCode.UNDEFINED_CLASS: has fix(es)
CompileTimeErrorCode.UNDEFINED_CLASS_BOOLEAN: has fix(es)
CompileTimeErrorCode.UNDEFINED_CONSTRUCTOR_IN_INITIALIZER: needs evaluation
CompileTimeErrorCode.UNDEFINED_CONSTRUCTOR_IN_INITIALIZER_DEFAULT: has fix(es)
CompileTimeErrorCode.UNDEFINED_ENUM_CONSTANT: needs evaluation
CompileTimeErrorCode.UNDEFINED_EXTENSION_GETTER: has fix(es)
CompileTimeErrorCode.UNDEFINED_EXTENSION_METHOD: has fix(es)
CompileTimeErrorCode.UNDEFINED_EXTENSION_OPERATOR: needs evaluation
CompileTimeErrorCode.UNDEFINED_EXTENSION_SETTER: has fix(es)
CompileTimeErrorCode.UNDEFINED_FUNCTION: has fix(es)
CompileTimeErrorCode.UNDEFINED_GETTER: has_fix(es)
CompileTimeErrorCode.UNDEFINED_GETTER_ON_FUNCTION_TYPE: needs fix; new in 2.15
CompileTimeErrorCode.UNDEFINED_IDENTIFIER: has fix(es)
CompileTimeErrorCode.UNDEFINED_IDENTIFIER_AWAIT: has fix(es)
CompileTimeErrorCode.UNDEFINED_METHOD: has fix(es)
CompileTimeErrorCode.UNDEFINED_METHOD_ON_FUNCTION_TYPE: needs fix; new in 2.15
CompileTimeErrorCode.UNDEFINED_NAMED_PARAMETER: has fix(es)
CompileTimeErrorCode.UNDEFINED_OPERATOR: has fix(es)
CompileTimeErrorCode.UNDEFINED_PREFIXED_NAME: has fix(es)
CompileTimeErrorCode.UNDEFINED_SETTER: has fix(es)
CompileTimeErrorCode.UNDEFINED_SETTER_ON_FUNCTION_TYPE: needs fix; new in 2.15
CompileTimeErrorCode.UNDEFINED_SUPER_GETTER: needs evaluation
CompileTimeErrorCode.UNDEFINED_SUPER_METHOD: needs evaluation
CompileTimeErrorCode.UNDEFINED_SUPER_OPERATOR: needs evaluation
CompileTimeErrorCode.UNDEFINED_SUPER_SETTER: needs evaluation
CompileTimeErrorCode.UNQUALIFIED_REFERENCE_TO_NON_LOCAL_STATIC_MEMBER: has fix(es)
CompileTimeErrorCode.UNQUALIFIED_REFERENCE_TO_STATIC_MEMBER_OF_EXTENDED_TYPE: has fix(es)
CompileTimeErrorCode.URI_DOES_NOT_EXIST: has fix(es)
CompileTimeErrorCode.URI_HAS_NOT_BEEN_GENERATED: needs evaluation
CompileTimeErrorCode.URI_WITH_INTERPOLATION: needs evaluation
CompileTimeErrorCode.USE_OF_NATIVE_EXTENSION: needs evaluation; compile-time error as of ~2.15
CompileTimeErrorCode.USE_OF_VOID_RESULT: needs evaluation
CompileTimeErrorCode.VARIABLE_TYPE_MISMATCH: needs evaluation
CompileTimeErrorCode.WRONG_EXPLICIT_TYPE_PARAMETER_VARIANCE_IN_SUPERINTERFACE: needs evaluation
CompileTimeErrorCode.WRONG_NUMBER_OF_PARAMETERS_FOR_OPERATOR: needs evaluation
CompileTimeErrorCode.WRONG_NUMBER_OF_PARAMETERS_FOR_OPERATOR_MINUS: needs evaluation
CompileTimeErrorCode.WRONG_NUMBER_OF_PARAMETERS_FOR_SETTER: needs evaluation
CompileTimeErrorCode.WRONG_NUMBER_OF_TYPE_ARGUMENTS: has fix(es)
CompileTimeErrorCode.WRONG_NUMBER_OF_TYPE_ARGUMENTS_ANONYMOUS_FUNCTION: needs fix; new in 2.15
CompileTimeErrorCode.WRONG_NUMBER_OF_TYPE_ARGUMENTS_CONSTRUCTOR: has fix(es)
CompileTimeErrorCode.WRONG_NUMBER_OF_TYPE_ARGUMENTS_EXTENSION: has fix(es)
CompileTimeErrorCode.WRONG_NUMBER_OF_TYPE_ARGUMENTS_FUNCTION: needs fix; new in ~2.15
CompileTimeErrorCode.WRONG_NUMBER_OF_TYPE_ARGUMENTS_METHOD: has fix(es)
CompileTimeErrorCode.WRONG_TYPE_PARAMETER_VARIANCE_IN_SUPERINTERFACE: needs evaluation
CompileTimeErrorCode.WRONG_TYPE_PARAMETER_VARIANCE_POSITION: needs evaluation
CompileTimeErrorCode.YIELD_EACH_IN_NON_GENERATOR: needs evaluation
CompileTimeErrorCode.YIELD_IN_NON_GENERATOR: needs evaluation
CompileTimeErrorCode.YIELD_EACH_OF_INVALID_TYPE: needs evaluation
CompileTimeErrorCode.YIELD_OF_INVALID_TYPE: has fix(es)
FfiCode.ABI_SPECIFIC_INTEGER_INVALID: needs evaluation; new in ~2.16
FfiCode.ABI_SPECIFIC_INTEGER_MAPPING_EXTRA: needs evaluation; new in ~2.16
FfiCode.ABI_SPECIFIC_INTEGER_MAPPING_MISSING: needs evaluation; new in ~2.16
FfiCode.ABI_SPECIFIC_INTEGER_MAPPING_UNSUPPORTED: needs evaluation; new in ~2.16
FfiCode.ANNOTATION_ON_POINTER_FIELD: needs evaluation
FfiCode.ARGUMENT_MUST_BE_A_CONSTANT: needs evaluation
FfiCode.CREATION_OF_STRUCT_OR_UNION: needs evaluation; new in ~2.15
FfiCode.EMPTY_STRUCT: needs evaluation
FfiCode.EXTRA_ANNOTATION_ON_STRUCT_FIELD: needs evaluation
FfiCode.EXTRA_SIZE_ANNOTATION_CARRAY: needs evaluation
FfiCode.FFI_NATIVE_MUST_BE_EXTERNAL: needs evaluation; new in ~2.15
FfiCode.FFI_NATIVE_ONLY_CLASSES_EXTENDING_NATIVEFIELDWRAPPERCLASS1_CAN_BE_POINTER: needs evaluation; new in ~2.15
FfiCode.FFI_NATIVE_UNEXPECTED_NUMBER_OF_PARAMETERS: needs evaluation; new in ~2.15
FfiCode.FFI_NATIVE_UNEXPECTED_NUMBER_OF_PARAMETERS_WITH_RECEIVER: needs evaluation; new in ~2.15
FfiCode.FIELD_IN_STRUCT_WITH_INITIALIZER: needs evaluation
FfiCode.FIELD_INITIALIZER_IN_STRUCT: needs evaluation
FfiCode.FIELD_MUST_BE_EXTERNAL_IN_STRUCT: needs evaluation; new in ~2.15
FfiCode.GENERIC_STRUCT_SUBCLASS: needs evaluation
FfiCode.INVALID_EXCEPTION_VALUE: needs evaluation
FfiCode.INVALID_FIELD_TYPE_IN_STRUCT: needs evaluation
FfiCode.LEAF_CALL_MUST_NOT_RETURN_HANDLE: needs evaluation
FfiCode.LEAF_CALL_MUST_NOT_TAKE_HANDLE: needs evaluation
FfiCode.MISMATCHED_ANNOTATION_ON_STRUCT_FIELD: needs evaluation
FfiCode.MISSING_ANNOTATION_ON_STRUCT_FIELD: needs evaluation
FfiCode.MISSING_EXCEPTION_VALUE: needs evaluation
FfiCode.MISSING_FIELD_TYPE_IN_STRUCT: needs evaluation
FfiCode.MISSING_SIZE_ANNOTATION_CARRAY: needs evaluation
FfiCode.MUST_BE_A_NATIVE_FUNCTION_TYPE: needs evaluation
FfiCode.MUST_BE_A_SUBTYPE: needs evaluation
FfiCode.NON_CONSTANT_TYPE_ARGUMENT: needs evaluation
FfiCode.NON_NATIVE_FUNCTION_TYPE_ARGUMENT_TO_POINTER: needs evaluation
FfiCode.NON_POSITIVE_ARRAY_DIMENSION: needs evaluation
FfiCode.NON_SIZED_TYPE_ARGUMENT: needs evaluation
FfiCode.PACKED_ANNOTATION: needs evaluation
FfiCode.PACKED_ANNOTATION_ALIGNMENT: needs evaluation
FfiCode.PACKED_NESTING_NON_PACKED: needs evaluation
FfiCode.SIZE_ANNOTATION_DIMENSIONS: needs evaluation
FfiCode.SUBTYPE_OF_FFI_CLASS_IN_EXTENDS: needs evaluation
FfiCode.SUBTYPE_OF_FFI_CLASS_IN_IMPLEMENTS: needs evaluation
FfiCode.SUBTYPE_OF_FFI_CLASS_IN_WITH: needs evaluation
FfiCode.SUBTYPE_OF_STRUCT_CLASS_IN_EXTENDS: needs evaluation
FfiCode.SUBTYPE_OF_STRUCT_CLASS_IN_IMPLEMENTS: needs evaluation
FfiCode.SUBTYPE_OF_STRUCT_CLASS_IN_WITH: needs evaluation
HintCode.ARGUMENT_TYPE_NOT_ASSIGNABLE_TO_ERROR_HANDLER: has fix(es)
HintCode.ASSIGNMENT_OF_DO_NOT_STORE: needs evaluation
HintCode.BODY_MIGHT_COMPLETE_NORMALLY_NULLABLE: has fix(es)
HintCode.CAN_BE_NULL_AFTER_NULL_AWARE: has fix(es)
HintCode.DEAD_CODE: has fix(es)
HintCode.DEAD_CODE_CATCH_FOLLOWING_CATCH: has fix(es)
HintCode.DEAD_CODE_ON_CATCH_SUBTYPE: has fix(es)
HintCode.DEPRECATED_EXTENDS_FUNCTION: needs evaluation
HintCode.DEPRECATED_FUNCTION_CLASS_DECLARATION: needs evaluation
HintCode.DEPRECATED_IMPLEMENTS_FUNCTION: needs evaluation
HintCode.DEPRECATED_MEMBER_USE: has fix(es)
HintCode.DEPRECATED_MEMBER_USE_FROM_SAME_PACKAGE: needs evaluation
HintCode.DEPRECATED_MEMBER_USE_FROM_SAME_PACKAGE_WITH_MESSAGE: needs evaluation
HintCode.DEPRECATED_MEMBER_USE_WITH_MESSAGE: has fix(es)
HintCode.DEPRECATED_MIXIN_FUNCTION: needs evaluation
HintCode.DEPRECATED_NEW_IN_COMMENT_REFERENCE: has fix(es)
HintCode.DIVISION_OPTIMIZATION: has fix(es)
HintCode.DUPLICATE_HIDDEN_NAME: has fix(es)
HintCode.DUPLICATE_IGNORE: needs evaluation
HintCode.DUPLICATE_IMPORT: has fix(es)
HintCode.DUPLICATE_SHOWN_NAME: has fix(es)
HintCode.EQUAL_ELEMENTS_IN_SET: needs evaluation
HintCode.EQUAL_KEYS_IN_MAP: needs evaluation
HintCode.FILE_IMPORT_INSIDE_LIB_REFERENCES_FILE_OUTSIDE: needs evaluation
HintCode.FILE_IMPORT_OUTSIDE_LIB_REFERENCES_FILE_INSIDE: needs evaluation
HintCode.IMPORT_DEFERRED_LIBRARY_WITH_LOAD_FUNCTION: needs evaluation
HintCode.IMPORT_OF_LEGACY_LIBRARY_INTO_NULL_SAFE: needs evaluation
HintCode.INFERENCE_FAILURE_ON_COLLECTION_LITERAL: needs evaluation
HintCode.INFERENCE_FAILURE_ON_FUNCTION_INVOCATION: needs evaluation
HintCode.INFERENCE_FAILURE_ON_FUNCTION_RETURN_TYPE: needs evaluation
HintCode.INFERENCE_FAILURE_ON_GENERIC_INVOCATION: needs evaluation
HintCode.INFERENCE_FAILURE_ON_INSTANCE_CREATION: needs evaluation
HintCode.INFERENCE_FAILURE_ON_UNINITIALIZED_VARIABLE: needs evaluation
HintCode.INFERENCE_FAILURE_ON_UNTYPED_PARAMETER: needs evaluation
HintCode.INVALID_ANNOTATION_TARGET: needs evaluation
HintCode.INVALID_EXPORT_OF_INTERNAL_ELEMENT: needs evaluation
HintCode.INVALID_EXPORT_OF_INTERNAL_ELEMENT_INDIRECTLY: needs evaluation
HintCode.INVALID_FACTORY_ANNOTATION: has fix(es)
HintCode.INVALID_FACTORY_METHOD_DECL: needs evaluation
HintCode.INVALID_FACTORY_METHOD_IMPL: needs evaluation
HintCode.INVALID_IMMUTABLE_ANNOTATION: has fix(es)
HintCode.INVALID_INTERNAL_ANNOTATION: needs evaluation
HintCode.INVALID_LANGUAGE_VERSION_OVERRIDE_AT_SIGN: needs evaluation
HintCode.INVALID_LANGUAGE_VERSION_OVERRIDE_EQUALS: needs evaluation
HintCode.INVALID_LANGUAGE_VERSION_OVERRIDE_GREATER: needs evaluation
HintCode.INVALID_LANGUAGE_VERSION_OVERRIDE_LOCATION: needs evaluation
HintCode.INVALID_LANGUAGE_VERSION_OVERRIDE_LOWER_CASE: needs evaluation
HintCode.INVALID_LANGUAGE_VERSION_OVERRIDE_NUMBER: needs evaluation
HintCode.INVALID_LANGUAGE_VERSION_OVERRIDE_PREFIX: needs evaluation
HintCode.INVALID_LANGUAGE_VERSION_OVERRIDE_TRAILING_CHARACTERS: needs evaluation
HintCode.INVALID_LANGUAGE_VERSION_OVERRIDE_TWO_SLASHES: needs evaluation
HintCode.INVALID_LITERAL_ANNOTATION: has fix(es)
HintCode.INVALID_NON_VIRTUAL_ANNOTATION: needs evaluation
HintCode.INVALID_OVERRIDE_OF_NON_VIRTUAL_MEMBER: needs evaluation
HintCode.INVALID_REQUIRED_NAMED_PARAM: has fix(es)
HintCode.INVALID_REQUIRED_OPTIONAL_POSITIONAL_PARAM: has fix(es)
HintCode.INVALID_REQUIRED_POSITIONAL_PARAM: has fix(es)
HintCode.INVALID_SEALED_ANNOTATION: has fix(es)
HintCode.INVALID_USE_OF_INTERNAL_MEMBER: needs evaluation
HintCode.INVALID_USE_OF_PROTECTED_MEMBER: needs evaluation
HintCode.INVALID_USE_OF_VISIBLE_FOR_OVERRIDING_MEMBER: needs evaluation; new in ~2.15
HintCode.INVALID_USE_OF_VISIBLE_FOR_TEMPLATE_MEMBER: needs evaluation
HintCode.INVALID_USE_OF_VISIBLE_FOR_TESTING_MEMBER: needs evaluation
HintCode.INVALID_VISIBILITY_ANNOTATION: needs evaluation
HintCode.INVALID_VISIBLE_FOR_OVERRIDING_ANNOTATION: needs fix; new in ~2.15
HintCode.MISSING_REQUIRED_PARAM: has fix(es)
HintCode.MISSING_REQUIRED_PARAM_WITH_DETAILS: has fix(es)
HintCode.MISSING_RETURN: needs evaluation
HintCode.MIXIN_ON_SEALED_CLASS: needs evaluation
HintCode.MUST_BE_IMMUTABLE: needs evaluation
HintCode.MUST_CALL_SUPER: needs fix; https://github.com/dart-lang/sdk/issues/33985
HintCode.NON_CONST_CALL_TO_LITERAL_CONSTRUCTOR: needs evaluation
HintCode.NON_CONST_CALL_TO_LITERAL_CONSTRUCTOR_USING_NEW: needs evaluation
HintCode.NULL_ARGUMENT_TO_NON_NULL_TYPE: needs evaluation; new in ~2.15
HintCode.NULL_AWARE_BEFORE_OPERATOR: needs evaluation
HintCode.NULL_AWARE_IN_CONDITION: needs evaluation
HintCode.NULL_AWARE_IN_LOGICAL_OPERATOR: needs evaluation
HintCode.NULL_CHECK_ALWAYS_FAILS: needs evaluation
HintCode.NULLABLE_TYPE_IN_CATCH_CLAUSE: has fix(es)
HintCode.OVERRIDE_ON_NON_OVERRIDING_FIELD: has fix(es)
HintCode.OVERRIDE_ON_NON_OVERRIDING_GETTER: has fix(es)
HintCode.OVERRIDE_ON_NON_OVERRIDING_METHOD: has fix(es)
HintCode.OVERRIDE_ON_NON_OVERRIDING_SETTER: has fix(es)
HintCode.PACKAGE_IMPORT_CONTAINS_DOT_DOT: needs evaluation
HintCode.RECEIVER_OF_TYPE_NEVER: needs evaluation
HintCode.RETURN_OF_DO_NOT_STORE: needs evaluation
HintCode.RETURN_OF_INVALID_TYPE_FROM_CATCH_ERROR: needs evaluation
HintCode.RETURN_TYPE_INVALID_FOR_CATCH_ERROR: needs evaluation
HintCode.SDK_VERSION_AS_EXPRESSION_IN_CONST_CONTEXT: has fix(es)
HintCode.SDK_VERSION_ASYNC_EXPORTED_FROM_CORE: has fix(es)
HintCode.SDK_VERSION_BOOL_OPERATOR_IN_CONST_CONTEXT: has fix(es)
HintCode.SDK_VERSION_CONSTRUCTOR_TEAROFFS: needs fix; new in 2.15
HintCode.SDK_VERSION_EQ_EQ_OPERATOR_IN_CONST_CONTEXT: has fix(es)
HintCode.SDK_VERSION_EXTENSION_METHODS: has fix(es)
HintCode.SDK_VERSION_GT_GT_GT_OPERATOR: has fix(es)
HintCode.SDK_VERSION_IS_EXPRESSION_IN_CONST_CONTEXT: has fix(es)
HintCode.SDK_VERSION_NEVER: needs evaluation
HintCode.SDK_VERSION_SET_LITERAL: has fix(es)
HintCode.SDK_VERSION_UI_AS_CODE: has fix(es)
HintCode.SDK_VERSION_UI_AS_CODE_IN_CONST_CONTEXT: needs evaluation
HintCode.STRICT_RAW_TYPE: needs evaluation
HintCode.SUBTYPE_OF_SEALED_CLASS: needs evaluation
HintCode.TYPE_CHECK_IS_NOT_NULL: has fix(es)
HintCode.TYPE_CHECK_IS_NULL: has fix(es)
HintCode.UNDEFINED_HIDDEN_NAME: has fix(es)
HintCode.UNDEFINED_REFERENCED_PARAMETER: has fix(es)
HintCode.UNDEFINED_SHOWN_NAME: needs evaluation
HintCode.UNIGNORABLE_IGNORE: needs evaluation
HintCode.UNNECESSARY_CAST: has fix(es)
HintCode.UNNECESSARY_IGNORE: needs evaluation
HintCode.UNNECESSARY_IMPORT: has fix(es)
HintCode.UNNECESSARY_NO_SUCH_METHOD: needs evaluation
HintCode.UNNECESSARY_NULL_COMPARISON_FALSE: has fix(es)
HintCode.UNNECESSARY_NULL_COMPARISON_TRUE: has fix(es)
HintCode.UNNECESSARY_QUESTION_MARK: needs evaluation
HintCode.UNNECESSARY_TYPE_CHECK_FALSE: needs fix; https://github.com/dart-lang/sdk/issues/47793
HintCode.UNNECESSARY_TYPE_CHECK_TRUE: needs fix; https://github.com/dart-lang/sdk/issues/47793
HintCode.TEXT_DIRECTION_CODE_POINT_IN_COMMENT: needs fix; new in ~2.16
HintCode.TEXT_DIRECTION_CODE_POINT_IN_LITERAL: needs fix; new in ~2.16
HintCode.UNUSED_CATCH_CLAUSE: has fix(es)
HintCode.UNUSED_CATCH_STACK: has fix(es)
HintCode.UNUSED_ELEMENT: has fix(es)
HintCode.UNUSED_ELEMENT_PARAMETER: needs evaluation
HintCode.UNUSED_FIELD: has fix(es)
HintCode.UNUSED_IMPORT: has fix(es)
HintCode.UNUSED_LABEL: has fix(es)
HintCode.UNUSED_LOCAL_VARIABLE: has fix(es)
HintCode.UNUSED_RESULT: needs evaluation
HintCode.UNUSED_RESULT_WITH_MESSAGE: needs evaluation
HintCode.UNUSED_SHOWN_NAME: has fix(es)
LanguageCode.IMPLICIT_DYNAMIC_FIELD: needs evaluation
LanguageCode.IMPLICIT_DYNAMIC_FUNCTION: needs evaluation
LanguageCode.IMPLICIT_DYNAMIC_INVOKE: needs evaluation
LanguageCode.IMPLICIT_DYNAMIC_LIST_LITERAL: needs evaluation
LanguageCode.IMPLICIT_DYNAMIC_MAP_LITERAL: needs evaluation
LanguageCode.IMPLICIT_DYNAMIC_METHOD: needs evaluation
LanguageCode.IMPLICIT_DYNAMIC_PARAMETER: needs evaluation
LanguageCode.IMPLICIT_DYNAMIC_RETURN: needs evaluation
LanguageCode.IMPLICIT_DYNAMIC_TYPE: needs evaluation
LanguageCode.IMPLICIT_DYNAMIC_VARIABLE: needs evaluation
LintNames.always_declare_return_types: has fix(es)
LintNames.always_put_control_body_on_new_line: needs evaluation
LintNames.always_put_required_named_parameters_first: needs evaluation
LintNames.always_require_non_null_named_parameters: has fix(es)
LintNames.always_specify_types: has fix(es)
LintNames.always_use_package_imports: has fix(es)
LintNames.annotate_overrides: has fix(es)
LintNames.avoid_annotating_with_dynamic: has fix(es)
LintNames.avoid_as: needs evaluation
LintNames.avoid_bool_literals_in_conditional_expressions: needs evaluation
LintNames.avoid_catches_without_on_clauses: needs evaluation
LintNames.avoid_catching_errors: needs evaluation
LintNames.avoid_classes_with_only_static_members: needs evaluation
LintNames.avoid_double_and_int_checks: needs evaluation
LintNames.avoid_dynamic_calls: needs evaluation
LintNames.avoid_empty_else: has fix(es)
LintNames.avoid_equals_and_hash_code_on_mutable_classes: needs evaluation
LintNames.avoid_escaping_inner_quotes: has fix(es)
LintNames.avoid_field_initializers_in_const_classes: needs evaluation
LintNames.avoid_final_parameters: needs evaluation
LintNames.avoid_function_literals_in_foreach_calls: has fix(es)
